MASTER_CUSTOMER_ID,SEGMENT_NUMBER
25384125,1
11338,1
25390008,1
25384497,1
193772,1
204488,2
219528,5
220541,1
227282,3
233015,3
238172,5
69262,1
240664,1
244997,1
250514,1
258336,3
261115,3
104795,1
290784,6
290867,1
149444,1
349747,3
350843,5
191164,1
208571,5
211392,5
216334,1
370924,1
376857,1
384933,6
393091,1
394528,1
394643,1
395568,1
395592,6
404301,1
408478,5
417023,5
417304,1
417502,1
419277,1
419756,1
420224,2
425315,1
429169,5
429268,5
437063,1
439928,1
448292,5
448333,1
450213,4
457293,5
459504,1
466129,5
863218,1
893231,1
467383,1
467929,1
469446,1
477837,1
485723,1
490706,6
491225,5
499691,1
507270,5
507618,1
508434,5
508567,1
904707,1
936049,1
946733,2
514233,5
515918,1
518144,5
526197,1
528391,1
534124,5
535651,1
958887,1
980418,1
548662,1
549446,1
563115,1
570946,5
571580,1
571853,1
579865,1
581620,1
582181,1
589442,1
998263,1
1002881,1
1004134,2
1031989,1
592833,4
595704,1
597776,1
598782,3
598807,1
610487,1
617128,5
617706,1
627317,1
630063,1
636714,5
640880,1
641044,1
1055252,1
1068057,1
1069972,1
643743,1
646705,5
646797,1
648777,6
655409,1
656738,1
664252,1
681496,1
684557,1
1084839,1
1087362,1
1091412,1
1110650,5
1112218,6
702929,1
704058,1
714734,5
1127192,5
1134155,5
1136044,1
1138206,2
1152868,1
1158519,1
1160051,1
722472,1
1162643,5
1182732,5
1185760,5
1193309,1
1198408,1
1199753,5
1200766,1
1202796,5
1204578,1
1205328,1
1205360,5
819005,5
820680,1
820820,1
1225772,1
1237412,1
1241364,6
1245259,5
833170,1
838245,6
855851,1
1282946,5
1286089,3
1288655,1
1292648,1
869620,1
875841,1
1314591,1
1327304,6
1331644,1
1334292,5
936479,1
1348061,1
1350462,1
1354860,1
1358698,1
1358846,1
1360750,1
1362524,1
1362582,1
1368077,3
1377739,3
1007675,1
1385401,1
1394155,1
1395020,1
1410977,1
1421502,6
1423194,4
1433549,1
1020578,1
1022227,6
1028663,1
1056614,1
1454529,2
1467770,5
1467928,1
1471200,5
1479048,1
1480194,1
1057563,6
1092452,1
1107665,1
1118117,1
1121475,1
1121780,1
1123059,1
1136713,3
1160837,1
1165324,1
1174101,2
1176371,1
1182386,1
1183780,5
1188673,1
1189233,1
1189415,5
1191600,1
1195941,5
1218173,6
1226499,5
1226788,5
1240217,5
1242221,5
1243112,1
1245936,5
1246190,1
1259820,5
1269093,3
1275842,1
1283308,1
1287277,1
1302207,1
1302843,2
1308263,5
1308768,1
1319020,1
1328237,5
1338715,5
1352872,1
1360247,3
1363390,1
1751652,3
1371062,1
1371484,1
1382390,5
1384487,1
1389528,1
1399056,1
1400879,3
1401108,1
1418921,4
1419052,1
1430660,1
1435371,1
1437070,1
1446336,1
1448712,5
1449538,1
1452614,1
1454298,1
1457630,5
1465972,5
1472886,2
1861394,1
1483164,5
1484930,1
1955410,1
1956054,1
1956088,1
1956111,1
1956210,1
1956228,3
1956236,5
1956278,5
1956294,1
1956327,1
1956418,4
1956426,5
1956434,1
1956525,1
1956533,3
1956567,1
1956608,5
1956616,5
1956632,1
1956640,1
1956674,1
1956682,1
1956707,1
1956799,1
1957482,5
1957515,1
1957557,1
1958258,1
1958290,5
1958323,1
1958365,1
1958422,1
1958638,3
1958654,5
1958662,1
1958703,5
1958711,1
1958787,1
1958919,5
1958927,5
1959157,5
1959206,5
1978537,6
1978553,1
1623223,1
2000511,1
2000537,2
2000553,5
2000579,1
2000595,2
2016625,1
2016633,1
2016641,1
2016914,5
2024313,5
2024602,3
2024644,3
2025345,4
2025402,1
2028878,1
2030352,1
2030419,5
2033421,1
2033611,5
2034552,1
2036079,1
2040541,1
2040567,3
2040608,1
2040723,1
2044345,6
2044436,1
2045822,3
2045848,6
2047208,1
2047240,1
2047282,1
2047290,4
2047331,4
2047406,5
2047414,5
2047448,1
2047464,1
2049220,1
2049535,5
2049543,1
2049569,5
2049634,6
2049642,5
2049684,5
2052992,1
2053007,1
